# Detector Count (1)
DetectorCount
1

# Detector Parameters (5)
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer
0, 360, 0.180000, 0.180000, 1.525879e-05

# Page Parameters (23)
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
43, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.044445, 0.000000, 10.000000, 172.000000, 0.000000, 0.000000, 0, 88.180000
44, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.022222, 0.000000, 10.000000, 176.000000, 0.000000, 0.000000, 0, 88.180000
45, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -3.000000, 0.000000, 10.000000, 180.000000, 0.000000, 0.000000, 0, 88.180000
46, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.977778, 0.000000, 10.000000, 184.000000, 0.000000, 0.000000, 0, 88.180000
47, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.955555, 0.000000, 10.000000, 188.000000, 0.000000, 0.000000, 0, 88.180000
48, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.933333, 0.000000, 10.000000, 192.000000, 0.000000, 0.000000, 0, 88.180000
49, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.911111, 0.000000, 10.000000, 196.000000, 0.000000, 0.000000, 0, 88.180000
50, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.888889, 0.000000, 10.000000, 200.000000, 0.000000, 0.000000, 0, 88.180000
51, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.866667, 0.000000, 10.000000, 204.000000, 0.000000, 0.000000, 0, 88.180000
52, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.844445, 0.000000, 10.000000, 208.000000, 0.000000, 0.000000, 0, 88.180000
53, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.822222, 0.000000, 10.000000, 212.000000, 0.000000, 0.000000, 0, 88.180000
54, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.800000, 0.000000, 10.000000, 216.000000, 0.000000, 0.000000, 0, 88.180000
55, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.777778, 0.000000, 10.000000, 220.000000, 0.000000, 0.000000, 0, 88.180000
56, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.755556, 0.000000, 10.000000, 224.000000, 0.000000, 0.000000, 0, 88.180000
57, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.733333, 0.000000, 10.000000, 228.000000, 0.000000, 0.000000, 0, 88.180000
58, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.711111, 0.000000, 10.000000, 232.000000, 0.000000, 0.000000, 0, 88.180000
59, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.688889, 0.000000, 10.000000, 236.000000, 0.000000, 0.000000, 0, 88.180000
60, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.666667, 0.000000, 10.000000, 240.000000, 0.000000, 0.000000, 0, 88.180000
61, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.644444, 0.000000, 10.000000, 244.000000, 0.000000, 0.000000, 0, 88.180000
62, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.622222, 0.000000, 10.000000, 248.000000, 0.000000, 0.000000, 0, 88.180000
63, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.600000, 0.000000, 10.000000, 252.000000, 0.000000, 0.000000, 0, 88.180000
64, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.577778, 0.000000, 10.000000, 256.000000, 0.000000, 0.000000, 0, 88.180000
65, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.555556, 0.000000, 10.000000, 260.000000, 0.000000, 0.000000, 0, 88.180000
66, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.533333, 0.000000, 10.000000, 264.000000, 0.000000, 0.000000, 0, 88.180000
67, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.511111, 0.000000, 10.000000, 268.000000, 0.000000, 0.000000, 0, 88.180000
68, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.488889, 0.000000, 10.000000, 272.000000, 0.000000, 0.000000, 0, 88.180000
69, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.466667, 0.000000, 10.000000, 276.000000, 0.000000, 0.000000, 0, 88.180000
70, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.444444, 0.000000, 10.000000, 280.000000, 0.000000, 0.000000, 0, 88.180000
71, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.422222, 0.000000, 10.000000, 284.000000, 0.000000, 0.000000, 0, 88.180000
72, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.400000, 0.000000, 10.000000, 288.000000, 0.000000, 0.000000, 0, 88.180000
73, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.377778, 0.000000, 10.000000, 292.000000, 0.000000, 0.000000, 0, 88.180000
74, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.355556, 0.000000, 10.000000, 296.000000, 0.000000, 0.000000, 0, 88.180000
75, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.333333, 0.000000, 10.000000, 300.000000, 0.000000, 0.000000, 0, 88.180000
76, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.311111, 0.000000, 10.000000, 304.000000, 0.000000, 0.000000, 0, 88.180000
77, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.288889, 0.000000, 10.000000, 308.000000, 0.000000, 0.000000, 0, 88.180000
78, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.266667, 0.000000, 10.000000, 312.000000, 0.000000, 0.000000, 0, 88.180000
79, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.244444, 0.000000, 10.000000, 316.000000, 0.000000, 0.000000, 0, 88.180000
80, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.222222, 0.000000, 10.000000, 320.000000, 0.000000, 0.000000, 0, 88.180000
81, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.200000, 0.000000, 10.000000, 324.000000, 0.000000, 0.000000, 0, 88.180000
82, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.177778, 0.000000, 10.000000, 328.000000, 0.000000, 0.000000, 0, 88.180000
83, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.155555, 0.000000, 10.000000, 332.000000, 0.000000, 0.000000, 0, 88.180000
84, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.133333, 0.000000, 10.000000, 336.000000, 0.000000, 0.000000, 0, 88.180000
85, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.111111, 0.000000, 10.000000, 340.000000, 0.000000, 0.000000, 0, 88.180000
86, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.088889, 0.000000, 10.000000, 344.000000, 0.000000, 0.000000, 0, 88.180000
87, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.066667, 0.000000, 10.000000, 348.000000, 0.000000, 0.000000, 0, 88.180000
88, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.044445, 0.000000, 10.000000, 352.000000, 0.000000, 0.000000, 0, 88.180000
89, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.022222, 0.000000, 10.000000, 356.000000, 0.000000, 0.000000, 0, 88.180000
90, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.000000, 0.000000, 10.000000, 360.000000, 0.000000, 0.000000, 0, 88.180000
91, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.977778, 0.000000, 10.000000, 364.000000, 0.000000, 0.000000, 0, 88.180000
92, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.955556, 0.000000, 10.000000, 368.000000, 0.000000, 0.000000, 0, 88.180000
93, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.933333, 0.000000, 10.000000, 372.000000, 0.000000, 0.000000, 0, 88.180000
94, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.911111, 0.000000, 10.000000, 376.000000, 0.000000, 0.000000, 0, 88.180000
95, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.888889, 0.000000, 10.000000, 380.000000, 0.000000, 0.000000, 0, 88.180000
96, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.866667, 0.000000, 10.000000, 384.000000, 0.000000, 0.000000, 0, 88.180000
97, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.844444, 0.000000, 10.000000, 388.000000, 0.000000, 0.000000, 0, 88.180000
98, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.822222, 0.000000, 10.000000, 392.000000, 0.000000, 0.000000, 0, 88.180000
99, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -1.800000, 0.000000, 10.000000, 396.000000, 0.000000, 0.000000, 0, 88.180000
