# Version,,,,,,,,,,,,,,,,,,,,,,
MajorVersion, MinorVersion,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Count (1),,,,,,,,,,,,,,,,,,,,,,
DetectorCount,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Detector Parameters (7),,,,,,,,,,,,,,,,,,,,,,
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer, DarkFieldPageCount, FlatFieldPageCount,,,,,,,,,,,,,,,,
0,360,0.18,0.18,4.00E-05,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Page Parameters (23),,,,,,,,,,,,,,,,,,,,,,
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
46,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.977778,0,10,184,0,0, EEulerSequence_Extrinsic_XYZ,88.18
47,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.955555,0,10,188,0,0, EEulerSequence_Extrinsic_XYZ,88.18
48,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.933333,0,10,192,0,0, EEulerSequence_Extrinsic_XYZ,88.18
49,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.911111,0,10,196,0,0, EEulerSequence_Extrinsic_XYZ,88.18
50,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.888889,0,10,200,0,0, EEulerSequence_Extrinsic_XYZ,88.18
51,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.866667,0,10,204,0,0, EEulerSequence_Extrinsic_XYZ,88.18
52,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.844445,0,10,208,0,0, EEulerSequence_Extrinsic_XYZ,88.18
53,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.822222,0,10,212,0,0, EEulerSequence_Extrinsic_XYZ,88.18
54,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.8,0,10,216,0,0, EEulerSequence_Extrinsic_XYZ,88.18
55,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.777778,0,10,220,0,0, EEulerSequence_Extrinsic_XYZ,88.18
56,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.755556,0,10,224,0,0, EEulerSequence_Extrinsic_XYZ,88.18
57,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.733333,0,10,228,0,0, EEulerSequence_Extrinsic_XYZ,88.18
58,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.711111,0,10,232,0,0, EEulerSequence_Extrinsic_XYZ,88.18
59,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.688889,0,10,236,0,0, EEulerSequence_Extrinsic_XYZ,88.18
60,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.666667,0,10,240,0,0, EEulerSequence_Extrinsic_XYZ,88.18
61,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.644444,0,10,244,0,0, EEulerSequence_Extrinsic_XYZ,88.18
62,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.622222,0,10,248,0,0, EEulerSequence_Extrinsic_XYZ,88.18
63,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.6,0,10,252,0,0, EEulerSequence_Extrinsic_XYZ,88.18
64,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.577778,0,10,256,0,0, EEulerSequence_Extrinsic_XYZ,88.18
65,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.555556,0,10,260,0,0, EEulerSequence_Extrinsic_XYZ,88.18
66,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.533333,0,10,264,0,0, EEulerSequence_Extrinsic_XYZ,88.18
67,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.511111,0,10,268,0,0, EEulerSequence_Extrinsic_XYZ,88.18
68,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.488889,0,10,272,0,0, EEulerSequence_Extrinsic_XYZ,88.18
69,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.466667,0,10,276,0,0, EEulerSequence_Extrinsic_XYZ,88.18
70,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.444444,0,10,280,0,0, EEulerSequence_Extrinsic_XYZ,88.18
71,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.422222,0,10,284,0,0, EEulerSequence_Extrinsic_XYZ,88.18
72,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.4,0,10,288,0,0, EEulerSequence_Extrinsic_XYZ,88.18
73,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.377778,0,10,292,0,0, EEulerSequence_Extrinsic_XYZ,88.18
74,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.355556,0,10,296,0,0, EEulerSequence_Extrinsic_XYZ,88.18
75,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.333333,0,10,300,0,0, EEulerSequence_Extrinsic_XYZ,88.18
76,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.311111,0,10,304,0,0, EEulerSequence_Extrinsic_XYZ,88.18
77,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.288889,0,10,308,0,0, EEulerSequence_Extrinsic_XYZ,88.18
78,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.266667,0,10,312,0,0, EEulerSequence_Extrinsic_XYZ,88.18
79,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.244444,0,10,316,0,0, EEulerSequence_Extrinsic_XYZ,88.18
80,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.222222,0,10,320,0,0, EEulerSequence_Extrinsic_XYZ,88.18
81,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.2,0,10,324,0,0, EEulerSequence_Extrinsic_XYZ,88.18
82,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.177778,0,10,328,0,0, EEulerSequence_Extrinsic_XYZ,88.18
83,0,0,0,0,0,0, EEulerSequence_Extrinsic_XYZ,0,0,60,0,0,0, EEulerSequence_Extrinsic_XYZ,-2.155555,0,10,332,0,0, EEulerSequence_Extrinsic_XYZ,88.18
